step,win_rate,lose_rate,draw_rate,acum_reward
26000,0.0,0.5,0.5,-27.66449546813965
27000,0.0,0.4000000059604645,0.6000000238418579,-8.767032623291016
28000,0.2000000029802322,0.6000000238418579,0.2000000029802322,-11.648591995239258
29000,0.1000000014901161,0.6000000238418579,0.3000000119209289,-10.41593074798584
30000,0.2000000029802322,0.6000000238418579,0.2000000029802322,-9.708807945251465
31000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-13.591713905334473
32000,0.3000000119209289,0.6000000238418579,0.1000000014901161,-5.983412265777588
33000,0.1000000014901161,0.2000000029802322,0.699999988079071,-9.410531044006348
34000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-15.529026985168455
35000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-16.401630401611328
36000,0.0,0.3000000119209289,0.699999988079071,-15.19335651397705
37000,0.0,0.800000011920929,0.2000000029802322,-13.713089942932127
38000,0.2000000029802322,0.6000000238418579,0.2000000029802322,-11.545913696289062
39000,0.0,0.5,0.5,-14.124351501464844
40000,0.2000000029802322,0.4000000059604645,0.4000000059604645,-8.894838333129883
41000,0.1000000014901161,0.699999988079071,0.2000000029802322,-10.757145881652832
42000,0.2000000029802322,0.5,0.3000000119209289,-12.841398239135742
43000,0.0,0.4000000059604645,0.6000000238418579,-19.70647621154785
44000,0.0,0.800000011920929,0.2000000029802322,-19.90911865234375
45000,0.2000000029802322,0.1000000014901161,0.699999988079071,-7.689961910247803
46000,0.1000000014901161,0.4000000059604645,0.5,-13.643580436706545
47000,0.1000000014901161,0.6000000238418579,0.3000000119209289,-10.118372917175291
48000,0.1000000014901161,0.699999988079071,0.2000000029802322,-10.187948226928713
49000,0.2000000029802322,0.3000000119209289,0.5,-16.263912200927734
50000,0.2000000029802322,0.5,0.3000000119209289,-6.430548667907715
51000,0.0,0.4000000059604645,0.6000000238418579,-15.721303939819336
52000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-17.37420654296875
53000,0.0,0.3000000119209289,0.699999988079071,-19.65708923339844
54000,0.1000000014901161,0.1000000014901161,0.800000011920929,-17.350215911865234
55000,0.0,0.4000000059604645,0.6000000238418579,-21.057159423828125
56000,0.0,0.5,0.5,-27.947189331054688
57000,0.2000000029802322,0.2000000029802322,0.6000000238418579,-8.399290084838867
58000,0.1000000014901161,0.2000000029802322,0.699999988079071,-19.516319274902344
59000,0.4000000059604645,0.4000000059604645,0.2000000029802322,-8.000316619873047
60000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-11.515576362609863
61000,0.3000000119209289,0.1000000014901161,0.6000000238418579,-10.390557289123535
62000,0.0,0.5,0.5,-14.276068687438965
63000,0.1000000014901161,0.5,0.4000000059604645,-9.253294944763184
64000,0.4000000059604645,0.5,0.1000000014901161,-5.49512243270874
65000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-20.722280502319336
66000,0.0,0.4000000059604645,0.6000000238418579,-21.46175193786621
67000,0.1000000014901161,0.4000000059604645,0.5,-17.440338134765625
68000,0.0,0.4000000059604645,0.6000000238418579,-18.437755584716797
69000,0.1000000014901161,0.2000000029802322,0.699999988079071,-20.637310028076172
70000,0.3000000119209289,0.1000000014901161,0.6000000238418579,-6.642472743988037
71000,0.0,0.2000000029802322,0.800000011920929,-18.387861251831055
72000,0.3000000119209289,0.1000000014901161,0.6000000238418579,-21.743074417114254
73000,0.1000000014901161,0.0,0.8999999761581421,-22.00725555419922
74000,0.3000000119209289,0.1000000014901161,0.6000000238418579,-11.60888385772705
75000,0.1000000014901161,0.2000000029802322,0.699999988079071,-19.4505672454834
76000,0.0,0.2000000029802322,0.800000011920929,-21.658140182495117
77000,0.0,0.5,0.5,-22.56407928466797
78000,0.2000000029802322,0.3000000119209289,0.5,-15.302289009094238
79000,0.1000000014901161,0.5,0.4000000059604645,-13.562836647033691
80000,0.1000000014901161,0.699999988079071,0.2000000029802322,-13.315221786499023
81000,0.2000000029802322,0.1000000014901161,0.699999988079071,-11.808956146240234
82000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-13.10069179534912
83000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-11.86960220336914
84000,0.1000000014901161,0.2000000029802322,0.699999988079071,-12.52507209777832
85000,0.2000000029802322,0.2000000029802322,0.6000000238418579,-13.087823867797852
86000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-10.167442321777344
87000,0.1000000014901161,0.4000000059604645,0.5,-13.401671409606934
88000,0.1000000014901161,0.5,0.4000000059604645,-12.866448402404783
89000,0.1000000014901161,0.699999988079071,0.2000000029802322,-12.061602592468262
90000,0.0,0.3000000119209289,0.699999988079071,-14.685157775878906
91000,0.2000000029802322,0.2000000029802322,0.6000000238418579,-14.713455200195312
92000,0.0,0.699999988079071,0.3000000119209289,-13.255914688110352
93000,0.1000000014901161,0.4000000059604645,0.5,-15.166608810424805
94000,0.0,0.2000000029802322,0.800000011920929,-16.685039520263672
95000,0.2000000029802322,0.2000000029802322,0.6000000238418579,-5.220392227172852
96000,0.0,0.3000000119209289,0.699999988079071,-11.445785522460938
97000,0.1000000014901161,0.699999988079071,0.2000000029802322,-15.117029190063477
98000,0.1000000014901161,0.2000000029802322,0.699999988079071,-16.925365447998047
99000,0.0,0.2000000029802322,0.800000011920929,-21.957109451293945
100000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-13.511187553405762
101000,0.1000000014901161,0.2000000029802322,0.699999988079071,-12.016700744628906
102000,0.1000000014901161,0.3000000119209289,0.6000000238418579,-17.728193283081055
